goos: darwin
goarch: arm64
pkg: github.com/gnolang/gno/gnovm/cmd/calibrate
cpu: Apple M2
BenchmarkAlloc_1-8            	158836329	         7.127 ns/op	       1 B/op	       1 allocs/op
BenchmarkAlloc_192-8          	21027268	        56.85 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-8          	21671373	        58.19 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-8          	20656044	        57.14 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_192-8          	21627628	        56.22 ns/op	     192 B/op	       1 allocs/op
BenchmarkAlloc_256-8          	19953482	        61.58 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-8          	20104093	        60.78 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-8          	19947940	        60.41 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-8          	20346943	        60.86 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_256-8          	19305135	        60.43 ns/op	     256 B/op	       1 allocs/op
BenchmarkAlloc_384-8          	17517246	        72.63 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-8          	16214380	        69.37 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-8          	17688602	        71.03 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-8          	17396293	        70.70 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_384-8          	17544853	        70.95 ns/op	     384 B/op	       1 allocs/op
BenchmarkAlloc_512-8          	15213728	        79.36 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-8          	14722036	        79.09 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-8          	15007026	        80.69 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-8          	14666085	        92.50 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_512-8          	14074814	        84.38 ns/op	     512 B/op	       1 allocs/op
BenchmarkAlloc_768-8          	12397681	       110.8 ns/op	     768 B/op	       1 allocs/op
BenchmarkAlloc_768-8          	11619331	       119.0 ns/op	     768 B/op	       1 allocs/op
BenchmarkAlloc_768-8          	12156406	       102.6 ns/op	     768 B/op	       1 allocs/op
BenchmarkAlloc_768-8          	11675422	       102.4 ns/op	     768 B/op	       1 allocs/op
BenchmarkAlloc_768-8          	11837174	       102.2 ns/op	     768 B/op	       1 allocs/op
BenchmarkAlloc_1024-8         	10279930	       138.1 ns/op	    1024 B/op	       1 allocs/op
BenchmarkAlloc_1024-8         	 8571458	       120.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkAlloc_1024-8         	 8570247	       128.6 ns/op	    1024 B/op	       1 allocs/op
BenchmarkAlloc_1024-8         	 8837212	       128.5 ns/op	    1024 B/op	       1 allocs/op
BenchmarkAlloc_1024-8         	10186548	       117.7 ns/op	    1024 B/op	       1 allocs/op
BenchmarkAlloc_2048-8         	 6082838	       198.8 ns/op	    2048 B/op	       1 allocs/op
BenchmarkAlloc_2048-8         	 6174409	       197.4 ns/op	    2048 B/op	       1 allocs/op
BenchmarkAlloc_2048-8         	 5861082	       210.4 ns/op	    2048 B/op	       1 allocs/op
BenchmarkAlloc_2048-8         	 6059508	       197.8 ns/op	    2048 B/op	       1 allocs/op
BenchmarkAlloc_2048-8         	 6103220	       197.4 ns/op	    2048 B/op	       1 allocs/op
BenchmarkAlloc_4096-8         	 3376555	       354.4 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAlloc_4096-8         	 3305785	       357.2 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAlloc_4096-8         	 3414648	       355.1 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAlloc_4096-8         	 3349971	       372.1 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAlloc_4096-8         	 3376256	       357.0 ns/op	    4096 B/op	       1 allocs/op
BenchmarkAlloc_8192-8         	 1786748	       670.2 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAlloc_8192-8         	 1792160	       671.4 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAlloc_8192-8         	 1795926	       834.5 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAlloc_8192-8         	 1752754	       723.6 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAlloc_8192-8         	 1710597	       723.7 ns/op	    8192 B/op	       1 allocs/op
BenchmarkAlloc_16384-8        	 1000000	      1308 ns/op	   16384 B/op	       1 allocs/op
BenchmarkAlloc_16384-8        	 1000000	      1196 ns/op	   16384 B/op	       1 allocs/op
BenchmarkAlloc_16384-8        	 1000000	      1094 ns/op	   16384 B/op	       1 allocs/op
BenchmarkAlloc_16384-8        	 1000000	      1097 ns/op	   16384 B/op	       1 allocs/op
BenchmarkAlloc_16384-8        	 1000000	      1100 ns/op	   16384 B/op	       1 allocs/op
BenchmarkAlloc_32768-8        	  663102	      1863 ns/op	   32768 B/op	       1 allocs/op
BenchmarkAlloc_32768-8        	  630435	      1846 ns/op	   32768 B/op	       1 allocs/op
BenchmarkAlloc_32768-8        	  662820	      2246 ns/op	   32768 B/op	       1 allocs/op
BenchmarkAlloc_32768-8        	  606532	      1931 ns/op	   32768 B/op	       1 allocs/op
BenchmarkAlloc_32768-8        	  672452	      2020 ns/op	   32768 B/op	       1 allocs/op
BenchmarkAlloc_65536-8        	  363063	      3327 ns/op	   65536 B/op	       1 allocs/op
BenchmarkAlloc_65536-8        	  423901	      3248 ns/op	   65536 B/op	       1 allocs/op
BenchmarkAlloc_65536-8        	  378880	      3242 ns/op	   65536 B/op	       1 allocs/op
BenchmarkAlloc_65536-8        	  368722	      3290 ns/op	   65536 B/op	       1 allocs/op
BenchmarkAlloc_65536-8        	  360714	      3378 ns/op	   65536 B/op	       1 allocs/op
BenchmarkAlloc_131072-8       	  192024	      5763 ns/op	  131072 B/op	       1 allocs/op
BenchmarkAlloc_131072-8       	  217026	      5629 ns/op	  131072 B/op	       1 allocs/op
BenchmarkAlloc_131072-8       	  193923	      5704 ns/op	  131072 B/op	       1 allocs/op
BenchmarkAlloc_131072-8       	  213139	      5612 ns/op	  131072 B/op	       1 allocs/op
BenchmarkAlloc_131072-8       	  209108	      5548 ns/op	  131072 B/op	       1 allocs/op
BenchmarkAlloc_262144-8       	  125870	      9875 ns/op	  262144 B/op	       1 allocs/op
BenchmarkAlloc_262144-8       	  113942	     10104 ns/op	  262144 B/op	       1 allocs/op
BenchmarkAlloc_262144-8       	  121196	     10243 ns/op	  262145 B/op	       1 allocs/op
BenchmarkAlloc_262144-8       	  120578	      9837 ns/op	  262144 B/op	       1 allocs/op
BenchmarkAlloc_262144-8       	  124707	      9969 ns/op	  262144 B/op	       1 allocs/op
BenchmarkAlloc_524288-8       	   71403	     19955 ns/op	  524289 B/op	       1 allocs/op
BenchmarkAlloc_524288-8       	   72700	     16787 ns/op	  524288 B/op	       1 allocs/op
BenchmarkAlloc_524288-8       	   76184	     16977 ns/op	  524288 B/op	       1 allocs/op
BenchmarkAlloc_524288-8       	   72976	     18058 ns/op	  524288 B/op	       1 allocs/op
BenchmarkAlloc_524288-8       	   70448	     18934 ns/op	  524288 B/op	       1 allocs/op
BenchmarkAlloc_1048576-8      	   34122	     36357 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkAlloc_1048576-8      	   36033	     33741 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkAlloc_1048576-8      	   36242	     32280 ns/op	 1048577 B/op	       1 allocs/op
BenchmarkAlloc_1048576-8      	   36577	     33467 ns/op	 1048578 B/op	       1 allocs/op
BenchmarkAlloc_1048576-8      	   33786	     33903 ns/op	 1048578 B/op	       1 allocs/op
BenchmarkAlloc_2097152-8      	   19364	     61793 ns/op	 2097155 B/op	       1 allocs/op
BenchmarkAlloc_2097152-8      	   19453	     61664 ns/op	 2097155 B/op	       1 allocs/op
BenchmarkAlloc_2097152-8      	   19693	     62670 ns/op	 2097155 B/op	       1 allocs/op
BenchmarkAlloc_2097152-8      	   19342	     62538 ns/op	 2097155 B/op	       1 allocs/op
BenchmarkAlloc_2097152-8      	   19201	     62132 ns/op	 2097156 B/op	       1 allocs/op
BenchmarkAlloc_4194304-8      	   10000	    103918 ns/op	 4194309 B/op	       1 allocs/op
BenchmarkAlloc_4194304-8      	   14118	     96609 ns/op	 4194309 B/op	       1 allocs/op
BenchmarkAlloc_4194304-8      	   12848	     89468 ns/op	 4194310 B/op	       1 allocs/op
BenchmarkAlloc_4194304-8      	   10000	    105776 ns/op	 4194308 B/op	       1 allocs/op
BenchmarkAlloc_4194304-8      	   10000	    100561 ns/op	 4194310 B/op	       1 allocs/op
BenchmarkAlloc_8388608-8      	    7549	    154944 ns/op	 8388618 B/op	       1 allocs/op
BenchmarkAlloc_8388608-8      	    7898	    143414 ns/op	 8388616 B/op	       1 allocs/op
BenchmarkAlloc_8388608-8      	    8788	    139189 ns/op	 8388620 B/op	       1 allocs/op
BenchmarkAlloc_8388608-8      	    8724	    137041 ns/op	 8388619 B/op	       1 allocs/op
BenchmarkAlloc_8388608-8      	    7689	    134795 ns/op	 8388619 B/op	       1 allocs/op
BenchmarkAlloc_16777216-8     	    5305	    224095 ns/op	16777225 B/op	       1 allocs/op
BenchmarkAlloc_16777216-8     	    5131	    221813 ns/op	16777225 B/op	       1 allocs/op
BenchmarkAlloc_16777216-8     	    5182	    226852 ns/op	16777222 B/op	       1 allocs/op
BenchmarkAlloc_16777216-8     	    5205	    222760 ns/op	16777225 B/op	       1 allocs/op
BenchmarkAlloc_16777216-8     	    5454	    220573 ns/op	16777224 B/op	       1 allocs/op
BenchmarkAlloc_33554432-8     	    2793	    409205 ns/op	33554446 B/op	       1 allocs/op
BenchmarkAlloc_33554432-8     	    3100	    416574 ns/op	33554447 B/op	       1 allocs/op
BenchmarkAlloc_33554432-8     	    3109	    401656 ns/op	33554446 B/op	       1 allocs/op
BenchmarkAlloc_33554432-8     	    2850	    419317 ns/op	33554444 B/op	       1 allocs/op
BenchmarkAlloc_33554432-8     	    2824	    395971 ns/op	33554447 B/op	       1 allocs/op
BenchmarkAlloc_67108864-8     	    1502	    752822 ns/op	67108882 B/op	       1 allocs/op
BenchmarkAlloc_67108864-8     	    1515	    747560 ns/op	67108881 B/op	       1 allocs/op
BenchmarkAlloc_67108864-8     	    1555	    752799 ns/op	67108880 B/op	       1 allocs/op
BenchmarkAlloc_67108864-8     	    1546	    777379 ns/op	67108881 B/op	       1 allocs/op
BenchmarkAlloc_67108864-8     	    1570	    767151 ns/op	67108881 B/op	       1 allocs/op
BenchmarkAlloc_134217728-8    	     730	   1483613 ns/op	134217746 B/op	       1 allocs/op
BenchmarkAlloc_134217728-8    	     811	   1461950 ns/op	134217746 B/op	       1 allocs/op
BenchmarkAlloc_134217728-8    	     823	   1494548 ns/op	134217745 B/op	       1 allocs/op
BenchmarkAlloc_134217728-8    	     775	   1459152 ns/op	134217746 B/op	       1 allocs/op
BenchmarkAlloc_134217728-8    	     781	   1488429 ns/op	134217748 B/op	       1 allocs/op
BenchmarkAlloc_268435456-8    	     415	   2946214 ns/op	268435472 B/op	       1 allocs/op
BenchmarkAlloc_268435456-8    	     363	   3176465 ns/op	268435470 B/op	       1 allocs/op
BenchmarkAlloc_268435456-8    	     412	   2890529 ns/op	268435473 B/op	       1 allocs/op
BenchmarkAlloc_268435456-8    	     415	   3010303 ns/op	268435474 B/op	       1 allocs/op
BenchmarkAlloc_268435456-8    	     412	   3128154 ns/op	268435470 B/op	       1 allocs/op
BenchmarkAlloc_536870912-8    	     204	   5763787 ns/op	536870934 B/op	       1 allocs/op
BenchmarkAlloc_536870912-8    	     194	   6008289 ns/op	536870926 B/op	       1 allocs/op
BenchmarkAlloc_536870912-8    	     200	   5889979 ns/op	536870925 B/op	       1 allocs/op
BenchmarkAlloc_536870912-8    	     205	   6632753 ns/op	536870926 B/op	       1 allocs/op
BenchmarkAlloc_536870912-8    	     201	   6009178 ns/op	536870926 B/op	       1 allocs/op
BenchmarkAlloc_1073741824-8   	     100	 176669342 ns/op	1073741829 B/op	       1 allocs/op
BenchmarkAlloc_1073741824-8   	      12	 118724844 ns/op	1073741832 B/op	       1 allocs/op
BenchmarkAlloc_1073741824-8   	      21	 102024458 ns/op	1073741828 B/op	       1 allocs/op
BenchmarkAlloc_1073741824-8   	      55	 179237665 ns/op	1073741832 B/op	       1 allocs/op
BenchmarkAlloc_1073741824-8   	       6	 183594028 ns/op	1073741840 B/op	       1 allocs/op
PASS
ok  	github.com/gnolang/gno/gnovm/cmd/calibrate	296.433s
